region_long_name	total_count
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM)	46
Cordillera Administrative Region (CAR)	110
National Capital Region (NCR)	61
Region I (Ilocos Region)	47
Region II (Cagayan Valley)	51
Region III (Central Luzon)	62
Region IV-A (CALABARZON)	61
Region IV-B (MIMAROPA)	29
Region IX (Zamboanga Peninsula)	40
Region V (Bicol Region)	81
Region VI (Western Visayas)	56
Region VII (Central Visayas)	47
Region VIII (Eastern Visayas)	74
Region X (Northern Mindanao)	41
Region XI (Davao Region)	78
Region XII (SOCCSKSARGEN)	49
Region XIII (CARAGA)	67
